month,geo,tier,source,impressions,clicks,spend,registrations,ftd,ngr,fraud_clicks,approval_rate,ctr,cpc,cpa,c2r,r2d,roi_pct,roas,fraud_rate
2024-01,CA,T1,Google_Search,984177,37654,23569.06,5764,1746,171704.43,378,0.99,0.0383,0.626,13.5,0.1531,0.3029,628.5,7.285,0.01
2024-01,CA,T1,Native_Ads,831669,15944,4086.25,1157,194,12096.77,879,0.939,0.0192,0.256,21.06,0.0726,0.1677,196.0,2.96,0.0551
2024-01,CA,T1,Push_Network,644442,13659,1040.44,534,49,1647.32,1828,0.859,0.0212,0.076,21.23,0.0391,0.0918,58.3,1.583,0.1338
2024-01,CA,T1,TikTok,799134,15869,4844.03,930,126,5734.389999999999,1238,0.918,0.0199,0.305,38.44,0.0586,0.1355,18.4,1.184,0.078
2024-01,DE,T1,Affiliate_SEO,1287582,27297,0.0,5528,1855,231187.4,537,0.979,0.0212,0.0,0.0,0.2025,0.3356,,,0.0197
2024-01,DE,T1,Facebook,748044,27734,7087.92,2362,521,39709.59,824,0.971,0.0371,0.256,13.6,0.0852,0.2206,460.2,5.602,0.0297
2024-01,DE,T1,Google_Search,812993,28314,21863.579999999998,4015,1229,127354.44,276,0.99,0.0348,0.772,17.79,0.1418,0.3061,482.5,5.825,0.0097
2024-01,DE,T1,Native_Ads,733982,15231,3922.82,962,180,12141.74,958,0.943,0.0208,0.258,21.79,0.0632,0.1871,209.5,3.095,0.0629
2024-01,DE,T1,Push_Network,857820,17044,1509.05,633,61,2095.31,2454,0.862,0.0199,0.089,24.74,0.0371,0.0964,38.8,1.388,0.144
2024-01,DE,T1,TikTok,760959,13758,5123.49,785,111,5315.85,1023,0.923,0.0181,0.372,46.16,0.0571,0.1414,3.8,1.038,0.0744
2024-01,IN,T3,Affiliate_SEO,169040,3404,0.0,769,254,5231.21,49,0.98,0.0201,0.0,0.0,0.2259,0.3303,,,0.0144
2024-01,IN,T3,Facebook,753794,26292,993.29,2285,510,7564.11,776,0.97,0.0349,0.038,1.95,0.0869,0.2232,661.5,7.615,0.0295
2024-01,IN,T3,Google_Search,853537,31108,3013.86,4824,1442,27400.77,258,0.99,0.0364,0.097,2.09,0.1551,0.2989,809.2,9.092,0.0083
2024-01,IN,T3,Native_Ads,911972,17821,676.3,1227,220,3063.93,1075,0.94,0.0195,0.038,3.07,0.0689,0.1793,353.0,4.53,0.0603
2024-01,IN,T3,Push_Network,831529,16758,200.34,640,65,563.53,2485,0.859,0.0202,0.012,3.08,0.0382,0.1016,181.3,2.813,0.1483
2024-01,IN,T3,TikTok,792054,16990,705.57,981,142,892.36,1422,0.92,0.0215,0.042,4.97,0.0577,0.1448,26.5,1.265,0.0837
2024-01,NG,T3,Affiliate_SEO,85809,1621,0.0,336,114,2091.17,19,0.981,0.0189,0.0,0.0,0.2073,0.3393,,,0.0117
2024-01,NG,T3,Facebook,989653,36622,869.66,3161,764,9298.26,1162,0.97,0.037,0.024,1.14,0.0863,0.2417,969.2,10.692,0.0317
2024-01,NG,T3,Google_Search,865648,28766,2135.61,4216,1217,15819.33,231,0.99,0.0332,0.074,1.75,0.1466,0.2887,640.7,7.407,0.008
2024-01,NG,T3,Native_Ads,831284,15739,416.51,1074,193,1808.58,976,0.941,0.0189,0.026,2.16,0.0682,0.1797,334.2,4.342,0.062
2024-01,NG,T3,Push_Network,717975,13890,114.83,568,58,414.03,1917,0.86,0.0193,0.008,1.98,0.0409,0.1021,260.6,3.606,0.138
2024-01,NG,T3,TikTok,937414,18144,537.45,1073,158,1444.91,1535,0.92,0.0194,0.03,3.4,0.0591,0.1473,168.8,2.688,0.0846
2024-01,PL,T2,Affiliate_SEO,387930,7859,0.0,1786,624,37976.44,134,0.979,0.0203,0.0,0.0,0.2273,0.3494,,,0.0171
2024-01,PL,T2,Facebook,939431,32874,3843.23,2637,658,23093.24,937,0.97,0.035,0.117,5.84,0.0802,0.2495,500.9,6.009,0.0285
2024-01,PL,T2,Google_Search,857072,30342,9246.15,4613,1251,64655.2,294,0.99,0.0354,0.305,7.39,0.152,0.2712,599.3,6.993,0.0097
2024-01,PL,T2,Native_Ads,751157,14535,1661.6,1090,199,6412.49,738,0.937,0.0194,0.114,8.35,0.075,0.1826,285.9,3.859,0.0508
2024-01,PL,T2,Push_Network,781971,16447,566.19,642,60,879.97,2286,0.853,0.021,0.034,9.44,0.039,0.0935,55.4,1.554,0.139
2024-01,PL,T2,TikTok,782671,17088,2133.67,1029,155,3422.15,1314,0.918,0.0218,0.125,13.77,0.0602,0.1506,60.4,1.604,0.0769
2024-02,AU,T1,Affiliate_SEO,875142,16556,0.0,3314,1202,135636.99,341,0.98,0.0189,0.0,0.0,0.2002,0.3627,,,0.0206
2024-02,AU,T1,Facebook,728668,24774,6329.64,2265,548,41457.74,745,0.971,0.034,0.255,11.55,0.0914,0.2419,555.0,6.55,0.0301
2024-02,AU,T1,Google_Search,766769,27904,17687.32,4148,1204,110363.55,259,0.99,0.0364,0.634,14.69,0.1487,0.2903,524.0,6.24,0.0093
2024-02,AU,T1,Native_Ads,903416,16497,4185.65,1221,252,15285.789999999999,1041,0.941,0.0183,0.254,16.61,0.074,0.2064,265.2,3.652,0.0631
2024-02,AU,T1,Push_Network,784957,16040,1212.04,631,58,1604.49,2392,0.859,0.0204,0.076,20.9,0.0393,0.0919,32.4,1.324,0.1491
2024-02,AU,T1,TikTok,915373,20424,5231.36,1260,182,7878.93,1767,0.922,0.0223,0.256,28.74,0.0617,0.1444,50.6,1.506,0.0865
2024-02,BR,T2,Affiliate_SEO,368796,8965,0.0,1881,661,28400.18,172,0.981,0.0243,0.0,0.0,0.2098,0.3514,,,0.0192
2024-02,BR,T2,Facebook,842499,28089,2635.48,2485,569,14586.6,898,0.97,0.0333,0.094,4.63,0.0885,0.229,453.5,5.535,0.032
2024-02,BR,T2,Google_Search,707412,23763,5826.86,3491,974,36577.840000000004,229,0.99,0.0336,0.245,5.98,0.1469,0.279,527.7,6.277,0.0096
2024-02,BR,T2,Native_Ads,778697,15373,1352.76,1153,213,4623.11,853,0.94,0.0197,0.088,6.35,0.075,0.1847,241.8,3.418,0.0555
2024-02,BR,T2,Push_Network,752315,16376,420.69,622,64,1000.01,2314,0.859,0.0218,0.026,6.57,0.038,0.1029,137.7,2.377,0.1413
2024-02,BR,T2,TikTok,782459,16347,1638.03,877,121,2154.46,1369,0.92,0.0209,0.1,13.54,0.0536,0.138,31.5,1.315,0.0837
2024-02,CA,T1,Affiliate_SEO,909715,19713,0.0,4462,1608,189309.13,364,0.98,0.0217,0.0,0.0,0.2263,0.3604,,,0.0185
2024-02,CA,T1,Facebook,658001,22460,5903.95,2074,470,34126.36,624,0.971,0.0341,0.263,12.56,0.0923,0.2266,478.0,5.78,0.0278
2024-02,CA,T1,Google_Search,865270,27983,20636.9,4271,1327,131705.79,292,0.99,0.0323,0.737,15.55,0.1526,0.3107,538.2,6.382,0.0104
2024-02,CA,T1,Native_Ads,733083,13189,3671.34,918,186,12169.69,752,0.939,0.018,0.278,19.74,0.0696,0.2026,231.5,3.315,0.057
2024-02,CA,T1,Push_Network,748676,14235,1187.3,596,65,2160.68,2013,0.861,0.019,0.083,18.27,0.0419,0.1091,82.0,1.82,0.1414
2024-02,CA,T1,TikTok,826382,16898,5159.12,965,137,6146.97,1388,0.919,0.0204,0.305,37.66,0.0571,0.142,19.1,1.191,0.0821
2024-02,DE,T1,Affiliate_SEO,938068,16784,0.0,3654,1335,161109.72,316,0.98,0.0179,0.0,0.0,0.2177,0.3654,,,0.0188
2024-02,DE,T1,Facebook,787555,27746,7765.54,2563,567,44549.08,778,0.97,0.0352,0.28,13.7,0.0924,0.2212,473.7,5.737,0.028
2024-02,DE,T1,Google_Search,838981,29808,23195.3,4549,1344,137251.49,291,0.99,0.0355,0.778,17.26,0.1526,0.2954,491.7,5.917,0.0098
2024-02,DE,T1,Native_Ads,699181,15122,3862.33,1065,206,13171.34,887,0.94,0.0216,0.255,18.75,0.0704,0.1934,241.0,3.41,0.0587
2024-02,DE,T1,Push_Network,787604,14017,1359.55,571,48,1545.61,2022,0.858,0.0178,0.097,28.32,0.0407,0.0841,13.7,1.137,0.1443
2024-02,DE,T1,TikTok,838137,16144,5554.849999999999,993,152,7239.42,1208,0.92,0.0193,0.344,36.55,0.0615,0.1531,30.3,1.303,0.0748
2024-02,IN,T3,Affiliate_SEO,133314,2630,0.0,609,189,4391.55,43,0.98,0.0197,0.0,0.0,0.2316,0.3103,,,0.0163
2024-02,IN,T3,Facebook,782448,26169,1085.62,2353,543,7707.83,800,0.97,0.0334,0.041,2.0,0.0899,0.2308,610.0,7.1,0.0306
2024-02,IN,T3,Google_Search,784068,27614,2751.81,4183,1291,25575.600000000002,247,0.99,0.0352,0.1,2.13,0.1515,0.3086,829.4,9.294,0.0089
2024-02,IN,T3,Native_Ads,720593,13763,537.22,1050,196,2293.74,811,0.941,0.0191,0.039,2.74,0.0763,0.1867,327.0,4.27,0.0589
2024-02,IN,T3,Push_Network,677135,13372,167.43,529,49,409.40999999999997,1720,0.859,0.0197,0.013,3.42,0.0396,0.0926,144.5,2.445,0.1286
2024-02,IN,T3,TikTok,646196,11972,598.48,682,99,807.03,1040,0.919,0.0185,0.05,6.05,0.057,0.1452,34.8,1.348,0.0869
2024-02,NG,T3,Affiliate_SEO,97503,1680,0.0,343,109,1709.92,21,0.98,0.0172,0.0,0.0,0.2042,0.3178,,,0.0125
2024-02,NG,T3,Facebook,779622,27693,711.83,2494,564,5599.86,767,0.97,0.0355,0.026,1.26,0.0901,0.2261,686.7,7.867,0.0277
2024-02,NG,T3,Google_Search,720574,22748,1703.72,3179,943,16001.64,202,0.99,0.0316,0.075,1.81,0.1397,0.2966,839.2,9.392,0.0089
2024-02,NG,T3,Native_Ads,815442,15737,405.54,1051,199,2151.75,883,0.94,0.0193,0.026,2.04,0.0668,0.1893,430.6,5.306,0.0561
2024-02,NG,T3,Push_Network,822039,17696,134.09,704,66,422.49,2248,0.856,0.0215,0.008,2.03,0.0398,0.0938,215.1,3.151,0.127
2024-02,NG,T3,TikTok,859735,18801,514.88,1172,185,1541.86,1618,0.918,0.0219,0.027,2.78,0.0623,0.1578,199.5,2.995,0.0861
2024-02,PL,T2,Affiliate_SEO,410815,8422,0.0,1849,622,38342.1,167,0.98,0.0205,0.0,0.0,0.2195,0.3364,,,0.0198
2024-02,PL,T2,Facebook,720048,25390,2910.63,2392,516,20575.22,724,0.97,0.0353,0.115,5.64,0.0942,0.2157,606.9,7.069,0.0285
2024-02,PL,T2,Google_Search,783459,27053,8432.91,4181,1197,63685.93,248,0.99,0.0345,0.312,7.05,0.1545,0.2863,655.2,7.552,0.0092
2024-02,PL,T2,Native_Ads,643282,12606,1432.59,889,168,5154.48,750,0.942,0.0196,0.114,8.53,0.0705,0.189,259.8,3.598,0.0595
2024-02,PL,T2,Push_Network,751971,16616,545.39,691,67,1358.4,2398,0.863,0.0221,0.033,8.14,0.0416,0.097,149.1,2.491,0.1443
2024-02,PL,T2,TikTok,843197,17449,2320.98,1034,154,3486.21,1272,0.922,0.0207,0.133,15.07,0.0593,0.1489,50.2,1.502,0.0729
2024-03,AU,T1,Affiliate_SEO,976556,19440,0.0,4363,1638,183839.25,407,0.981,0.0199,0.0,0.0,0.2244,0.3754,,,0.0209
2024-03,AU,T1,Facebook,909571,31246,7655.89,2842,673,49522.48,904,0.971,0.0344,0.245,11.38,0.091,0.2368,546.9,6.469,0.0289
2024-03,AU,T1,Google_Search,916690,31388,20380.260000000002,4682,1398,134284.46,282,0.99,0.0342,0.649,14.58,0.1492,0.2986,558.9,6.589,0.009
2024-03,AU,T1,Native_Ads,881140,15087,4125.36,945,180,10886.86,782,0.94,0.0171,0.273,22.92,0.0626,0.1905,163.9,2.639,0.0518
2024-03,AU,T1,Push_Network,908251,18617,1400.8899999999999,692,62,2061.63,2735,0.866,0.0205,0.075,22.6,0.0372,0.0896,47.2,1.472,0.1469
2024-03,AU,T1,TikTok,918406,18424,5279.82,1056,166,7359.2,1430,0.924,0.0201,0.287,31.81,0.0573,0.1572,39.4,1.394,0.0776
2024-03,BR,T2,Affiliate_SEO,340475,6691,0.0,1418,491,21982.25,109,0.98,0.0197,0.0,0.0,0.2119,0.3463,,,0.0163
2024-03,BR,T2,Facebook,785007,28516,2435.53,2663,597,17657.09,855,0.97,0.0363,0.085,4.08,0.0934,0.2242,625.0,7.25,0.03
2024-03,BR,T2,Google_Search,784288,29400,6559.0,4417,1333,52497.58,278,0.99,0.0375,0.223,4.92,0.1502,0.3018,700.4,8.004,0.0095
2024-03,BR,T2,Native_Ads,980063,19359,1763.25,1286,225,5230.54,1233,0.942,0.0198,0.091,7.84,0.0664,0.175,196.6,2.966,0.0637
2024-03,BR,T2,Push_Network,859695,17436,481.28,690,67,924.48,2568,0.859,0.0203,0.028,7.18,0.0396,0.0971,92.1,1.921,0.1473
2024-03,BR,T2,TikTok,1055135,20028,2241.84,1184,188,3287.93,1468,0.92,0.019,0.112,11.92,0.0591,0.1588,46.7,1.467,0.0733
2024-03,CA,T1,Affiliate_SEO,1094894,21911,0.0,4889,1754,196825.76,391,0.98,0.02,0.0,0.0,0.2231,0.3588,,,0.0178
2024-03,CA,T1,Facebook,844677,31077,7441.35,2611,583,42930.76,976,0.97,0.0368,0.239,12.76,0.084,0.2233,476.9,5.769,0.0314
2024-03,CA,T1,Google_Search,811731,27089,18719.14,4128,1200,114416.47,283,0.99,0.0334,0.691,15.6,0.1524,0.2907,511.2,6.112,0.0104
2024-03,CA,T1,Native_Ads,1014649,20016,5136.84,1450,274,17203.81,1344,0.942,0.0197,0.257,18.75,0.0724,0.189,234.9,3.349,0.0671
2024-03,CA,T1,Push_Network,789814,15201,1274.8,570,50,1531.49,2101,0.857,0.0192,0.084,25.5,0.0375,0.0877,20.1,1.201,0.1382
2024-03,CA,T1,TikTok,692450,13493,4139.73,798,119,5655.46,1103,0.92,0.0195,0.307,34.79,0.0591,0.1491,36.6,1.366,0.0817
2024-03,DE,T1,Affiliate_SEO,1025045,20802,0.0,4575,1557,195006.1,422,0.981,0.0203,0.0,0.0,0.2199,0.3403,,,0.0203
2024-03,DE,T1,Facebook,765786,28187,7594.0,2544,582,48557.659999999996,817,0.97,0.0368,0.269,13.05,0.0903,0.2288,539.4,6.394,0.029
2024-03,DE,T1,Google_Search,784235,29396,20499.65,4327,1426,151678.79,229,0.99,0.0375,0.697,14.38,0.1472,0.3296,639.9,7.399,0.0078
2024-03,DE,T1,Native_Ads,784401,15667,4388.9400000000005,1026,182,11445.539999999999,985,0.939,0.02,0.28,24.12,0.0655,0.1774,160.8,2.608,0.0629
2024-03,DE,T1,Push_Network,833668,16410,1424.95,670,62,2296.47,2500,0.861,0.0197,0.087,22.98,0.0408,0.0925,61.2,1.612,0.1523
2024-03,DE,T1,TikTok,854740,17754,5537.47,1014,138,6526.52,1630,0.92,0.0208,0.312,40.13,0.0571,0.1361,17.9,1.179,0.0918
2024-03,IN,T3,Affiliate_SEO,130641,2651,0.0,547,179,3450.93,39,0.98,0.0203,0.0,0.0,0.2063,0.3272,,,0.0147
2024-03,IN,T3,Facebook,849752,29578,1156.72,2628,615,9773.800000000001,963,0.97,0.0348,0.039,1.88,0.0888,0.234,745.0,8.45,0.0326
2024-03,IN,T3,Google_Search,741107,26839,2652.97,3976,1112,19243.82,235,0.99,0.0362,0.099,2.39,0.1481,0.2797,625.4,7.254,0.0088
2024-03,IN,T3,Native_Ads,1069303,22721,784.46,1622,287,3528.08,1415,0.942,0.0212,0.035,2.73,0.0714,0.1769,349.7,4.497,0.0623
2024-03,IN,T3,Push_Network,871483,18077,210.01,664,59,394.21,2661,0.86,0.0207,0.012,3.56,0.0367,0.0889,87.7,1.877,0.1472
2024-03,IN,T3,TikTok,965588,19639,892.39,1159,174,1557.68,1571,0.922,0.0203,0.045,5.13,0.059,0.1501,74.6,1.746,0.08
2024-03,NG,T3,Affiliate_SEO,114056,2392,0.0,531,180,3169.05,35,0.98,0.021,0.0,0.0,0.222,0.339,,,0.0146
2024-03,NG,T3,Facebook,825353,27597,744.11,2327,543,8605.89,806,0.97,0.0334,0.027,1.37,0.0843,0.2333,1056.5,11.565,0.0292
2024-03,NG,T3,Google_Search,856880,29950,1992.2,4296,1291,16796.77,293,0.99,0.035,0.067,1.54,0.1434,0.3005,743.1,8.431,0.0098
2024-03,NG,T3,Native_Ads,946584,18413,475.5,1287,237,2084.9,1053,0.938,0.0195,0.026,2.01,0.0699,0.1841,338.5,4.385,0.0572
2024-03,NG,T3,Push_Network,946682,18010,152.43,751,77,410.8,2364,0.865,0.019,0.008,1.98,0.0417,0.1025,169.5,2.695,0.1313
2024-03,NG,T3,TikTok,932268,20317,537.32,1203,169,1057.16,1258,0.918,0.0218,0.026,3.18,0.0592,0.1405,96.7,1.967,0.0619
2024-03,PL,T2,Affiliate_SEO,402575,7936,0.0,1795,595,35449.99,125,0.98,0.0197,0.0,0.0,0.2262,0.3315,,,0.0158
2024-03,PL,T2,Facebook,895795,32578,3633.1800000000003,2828,700,27198.55,1016,0.97,0.0364,0.112,5.19,0.0868,0.2475,648.6,7.486,0.0312
2024-03,PL,T2,Google_Search,942469,33583,10440.01,5126,1610,82659.1,341,0.99,0.0356,0.311,6.48,0.1526,0.3141,691.8,7.918,0.0102
2024-03,PL,T2,Native_Ads,934184,18913,2187.53,1356,282,8559.04,976,0.938,0.0202,0.116,7.76,0.0717,0.208,291.3,3.913,0.0516
2024-03,PL,T2,Push_Network,885860,16551,651.52,641,63,1100.99,2262,0.86,0.0187,0.039,10.34,0.0387,0.0983,69.0,1.69,0.1367
2024-03,PL,T2,TikTok,902664,19661,2411.58,1131,165,3820.31,1635,0.921,0.0218,0.123,14.62,0.0575,0.1459,58.4,1.584,0.0832
2024-04,AU,T1,Affiliate_SEO,946181,18592,0.0,3814,1274,143809.05,383,0.98,0.0196,0.0,0.0,0.2051,0.334,,,0.0206
2024-04,AU,T1,Facebook,1033397,39057,8848.48,3498,841,61358.08,1157,0.97,0.0378,0.227,10.52,0.0896,0.2404,593.4,6.934,0.0296
2024-04,AU,T1,Google_Search,944451,32083,21750.85,5033,1496,144843.88999999998,343,0.99,0.034,0.678,14.54,0.1569,0.2972,565.9,6.659,0.0107
2024-04,AU,T1,Native_Ads,827490,16864,4003.76,1271,226,14025.24,904,0.939,0.0204,0.237,17.72,0.0754,0.1778,250.3,3.503,0.0536
2024-04,AU,T1,Push_Network,886602,16644,1371.59,626,57,1844.49,2352,0.853,0.0188,0.082,24.06,0.0376,0.0911,34.5,1.345,0.1413
2024-04,AU,T1,TikTok,872543,16785,5093.21,1004,132,5369.33,1469,0.92,0.0192,0.303,38.58,0.0598,0.1315,5.4,1.054,0.0875
2024-04,BR,T2,Affiliate_SEO,330934,6644,0.0,1337,452,21278.0,108,0.98,0.0201,0.0,0.0,0.2012,0.3381,,,0.0163
2024-04,BR,T2,Facebook,798398,28030,2530.76,2621,615,18776.58,753,0.971,0.0351,0.09,4.12,0.0935,0.2346,641.9,7.419,0.0269
2024-04,BR,T2,Google_Search,1015508,36760,8479.91,5859,1639,68091.0,347,0.99,0.0362,0.231,5.17,0.1594,0.2797,703.0,8.03,0.0094
2024-04,BR,T2,Native_Ads,801747,15624,1408.98,1078,188,5176.38,949,0.939,0.0195,0.09,7.49,0.069,0.1744,267.4,3.674,0.0607
2024-04,BR,T2,Push_Network,774771,15304,436.12,590,53,739.5699999999999,2245,0.858,0.0198,0.028,8.23,0.0386,0.0898,69.6,1.696,0.1467
2024-04,BR,T2,TikTok,824923,17387,1713.55,981,129,2471.61,1499,0.92,0.0211,0.099,13.28,0.0564,0.1315,44.2,1.442,0.0862
2024-04,CA,T1,Affiliate_SEO,1033304,19897,0.0,4533,1670,189011.45,384,0.98,0.0193,0.0,0.0,0.2278,0.3684,,,0.0193
2024-04,CA,T1,Facebook,719653,24961,6220.89,2382,528,38861.9,726,0.971,0.0347,0.249,11.78,0.0954,0.2217,524.7,6.247,0.0291
2024-04,CA,T1,Google_Search,705069,23372,17297.87,3298,997,95510.11,234,0.99,0.0331,0.74,17.35,0.1411,0.3023,452.1,5.521,0.01
2024-04,CA,T1,Native_Ads,776704,15987,3788.61,1173,229,15156.98,972,0.943,0.0206,0.237,16.54,0.0734,0.1952,300.1,4.001,0.0608
2024-04,CA,T1,Push_Network,1031594,19558,1660.3799999999999,765,81,2639.4,2641,0.862,0.019,0.085,20.5,0.0391,0.1059,59.0,1.59,0.135
2024-04,CA,T1,TikTok,728363,13436,4388.16,812,110,4692.97,1079,0.921,0.0184,0.327,39.89,0.0604,0.1355,6.9,1.069,0.0803
2024-04,DE,T1,Affiliate_SEO,965176,18864,0.0,3982,1418,177488.52,382,0.98,0.0195,0.0,0.0,0.2111,0.3561,,,0.0203
2024-04,DE,T1,Facebook,802123,28645,7979.63,2525,612,48737.56,876,0.969,0.0357,0.279,13.04,0.0881,0.2424,510.8,6.108,0.0306
2024-04,DE,T1,Google_Search,816559,26507,21835.08,3823,1163,120023.25,272,0.99,0.0325,0.824,18.77,0.1442,0.3042,449.7,5.497,0.0103
2024-04,DE,T1,Native_Ads,744019,13271,4082.63,927,178,12079.62,812,0.939,0.0178,0.308,22.94,0.0699,0.192,195.9,2.959,0.0612
2024-04,DE,T1,Push_Network,828877,16145,1465.62,607,58,2075.21,2186,0.861,0.0195,0.091,25.27,0.0376,0.0956,41.6,1.416,0.1354
2024-04,DE,T1,TikTok,754502,16702,4918.71,1053,163,7530.14,1206,0.92,0.0221,0.294,30.18,0.063,0.1548,53.1,1.531,0.0722
2024-04,IN,T3,Affiliate_SEO,159053,3206,0.0,646,203,4596.68,46,0.981,0.0202,0.0,0.0,0.2015,0.3142,,,0.0143
2024-04,IN,T3,Facebook,796119,27971,1067.9,2394,536,8980.09,853,0.97,0.0351,0.038,1.99,0.0856,0.2239,740.9,8.409,0.0305
2024-04,IN,T3,Google_Search,797034,27955,2799.42,3951,1171,26118.43,285,0.99,0.0351,0.1,2.39,0.1413,0.2964,833.0,9.33,0.0102
2024-04,IN,T3,Native_Ads,668650,11808,501.91,835,149,2224.28,707,0.938,0.0177,0.043,3.37,0.0707,0.1784,343.2,4.432,0.0599
2024-04,IN,T3,Push_Network,844918,17748,202.75,719,66,635.79,2313,0.857,0.021,0.011,3.07,0.0405,0.0918,213.6,3.136,0.1303
2024-04,IN,T3,TikTok,761780,14325,685.19,870,139,1122.42,1254,0.921,0.0188,0.048,4.93,0.0607,0.1598,63.8,1.638,0.0875
2024-04,NG,T3,Affiliate_SEO,81903,1526,0.0,310,93,1786.52,16,0.98,0.0186,0.0,0.0,0.2031,0.3,,,0.0105
2024-04,NG,T3,Facebook,757207,24880,680.47,2237,480,5344.26,746,0.971,0.0329,0.027,1.42,0.0899,0.2146,685.4,7.854,0.03
2024-04,NG,T3,Google_Search,744964,27232,1742.57,4154,1291,21014.27,260,0.99,0.0366,0.064,1.35,0.1525,0.3108,1105.9,12.059,0.0095
2024-04,NG,T3,Native_Ads,851545,16813,424.64,1133,226,1795.38,965,0.94,0.0197,0.025,1.88,0.0674,0.1995,322.8,4.228,0.0574
2024-04,NG,T3,Push_Network,793601,14937,127.38,586,56,298.46,2076,0.86,0.0188,0.009,2.27,0.0392,0.0956,134.3,2.343,0.139
2024-04,NG,T3,TikTok,848864,17894,509.23,1036,158,1362.37,1395,0.92,0.0211,0.028,3.22,0.0579,0.1525,167.5,2.675,0.078
2024-04,PL,T2,Affiliate_SEO,414845,7268,0.0,1581,547,32169.64,144,0.98,0.0175,0.0,0.0,0.2175,0.346,,,0.0198
2024-04,PL,T2,Facebook,843196,28838,3438.64,2415,581,22605.27,967,0.969,0.0342,0.119,5.92,0.0837,0.2406,557.4,6.574,0.0335
2024-04,PL,T2,Google_Search,952898,35349,10479.5,4973,1459,71529.54000000001,338,0.99,0.0371,0.296,7.18,0.1407,0.2934,582.6,6.826,0.0096
2024-04,PL,T2,Native_Ads,1008879,18908,2290.14,1289,231,7027.11,1122,0.939,0.0187,0.121,9.91,0.0682,0.1792,206.8,3.068,0.0593
2024-04,PL,T2,Push_Network,831594,17968,580.95,716,74,1338.96,2620,0.864,0.0216,0.032,7.85,0.0398,0.1034,130.5,2.305,0.1458
2024-04,PL,T2,TikTok,714612,13723,1971.8600000000001,816,129,2713.68,1023,0.919,0.0192,0.144,15.29,0.0595,0.1581,37.6,1.376,0.0745
2024-05,AU,T1,Affiliate_SEO,919593,21121,0.0,4519,1657,189029.93,393,0.98,0.023,0.0,0.0,0.214,0.3667,,,0.0186
2024-05,AU,T1,Facebook,824946,30812,6962.47,2791,580,42187.94,841,0.972,0.0374,0.226,12.0,0.0906,0.2078,505.9,6.059,0.0273
2024-05,AU,T1,Google_Search,911970,30584,21130.28,4503,1229,116256.04,308,0.99,0.0335,0.691,17.19,0.1472,0.2729,450.2,5.502,0.0101
2024-05,AU,T1,Native_Ads,937818,19245,4415.45,1345,242,14598.210000000001,1163,0.94,0.0205,0.229,18.25,0.0699,0.1799,230.6,3.306,0.0604
2024-05,AU,T1,Push_Network,848029,17254,1285.08,686,69,2021.37,2514,0.859,0.0203,0.074,18.62,0.0398,0.1006,57.3,1.573,0.1457
2024-05,AU,T1,TikTok,849314,17006,4793.37,940,141,5790.389999999999,1293,0.921,0.02,0.282,34.0,0.0553,0.15,20.8,1.208,0.076
