date,source,geo,clicks,registrations,ftd,ctr,c2r,fraud_rate,approval_rate,r2d,alert_type,is_anomaly
2024-01-02,Native_Ads,IN,346,37,7,0.0229,0.1069,0.052,0.949,0.1892,NORMAL,0
2024-01-02,Native_Ads,NG,1072,73,14,0.0303,0.0681,0.0336,0.949,0.1918,NORMAL,0
2024-01-02,Native_Ads,PL,490,30,6,0.0253,0.0612,0.0367,0.95,0.2,NORMAL,0
2024-01-02,Push_Network,AU,432,15,1,0.0149,0.0347,0.1736,0.868,0.0667,HIGH_FRAUD_RATE,1
2024-01-02,Push_Network,BR,270,13,1,0.0199,0.0481,0.2037,0.872,0.0769,HIGH_FRAUD_RATE,1
2024-01-02,Push_Network,CA,623,31,2,0.021,0.0498,0.1348,0.868,0.0645,HIGH_FRAUD_RATE,1
2024-01-02,Push_Network,DE,353,18,2,0.0207,0.051,0.1926,0.863,0.1111,HIGH_FRAUD_RATE,1
2024-01-02,Push_Network,IN,535,17,2,0.0198,0.0318,0.1645,0.84,0.1176,HIGH_FRAUD_RATE,1
2024-01-02,Push_Network,NG,963,38,5,0.0216,0.0395,0.0924,0.879,0.1316,NORMAL,0
2024-01-02,Push_Network,PL,1488,54,8,0.0265,0.0363,0.0921,0.87,0.1481,NORMAL,0
2024-01-02,TikTok,AU,271,18,2,0.0295,0.0664,0.0517,0.908,0.1111,NORMAL,0
2024-01-02,TikTok,BR,494,25,3,0.0208,0.0506,0.0688,0.932,0.12,NORMAL,0
2024-01-02,TikTok,CA,488,22,4,0.0306,0.0451,0.0738,0.909,0.1818,NORMAL,0
2024-01-02,TikTok,DE,187,12,1,0.0215,0.0642,0.1016,0.936,0.0833,HIGH_FRAUD_RATE,1
2024-01-02,TikTok,IN,1203,64,9,0.0284,0.0532,0.0939,0.929,0.1406,NORMAL,0
2024-01-02,TikTok,NG,228,11,2,0.0098,0.0482,0.0395,0.925,0.1818,NORMAL,0
2024-01-02,TikTok,PL,272,20,3,0.0134,0.0735,0.0882,0.908,0.15,NORMAL,0
2024-01-03,Affiliate_SEO,AU,753,204,69,0.0271,0.2709,0.0093,0.979,0.3382,NORMAL,0
2024-01-03,Affiliate_SEO,BR,117,22,4,0.0199,0.188,0.0171,0.979,0.1818,NORMAL,0
2024-01-03,Affiliate_SEO,CA,692,128,55,0.009,0.185,0.013,0.977,0.4297,NORMAL,0
2024-01-03,Affiliate_SEO,DE,1348,409,166,0.0275,0.3034,0.0163,0.978,0.4059,NORMAL,0
2024-01-03,Affiliate_SEO,IN,131,36,11,0.0151,0.2748,0.0076,0.981,0.3056,NORMAL,0
2024-01-03,Affiliate_SEO,NG,94,19,8,0.0258,0.2021,0.0106,0.983,0.4211,NORMAL,0
2024-01-03,Affiliate_SEO,PL,88,25,7,0.0119,0.2841,0.0114,0.977,0.28,NORMAL,0
2024-01-03,Facebook,AU,378,37,10,0.0312,0.0979,0.037,0.971,0.2703,NORMAL,0
2024-01-03,Facebook,BR,496,50,14,0.025,0.1008,0.0363,0.976,0.28,NORMAL,0
2024-01-03,Facebook,CA,452,34,6,0.0145,0.0752,0.0133,0.973,0.1765,NORMAL,0
2024-01-03,Facebook,DE,558,51,12,0.0363,0.0914,0.0412,0.97,0.2353,NORMAL,0
2024-01-03,Facebook,IN,1482,134,26,0.0414,0.0904,0.0425,0.967,0.194,NORMAL,0
2024-01-03,Facebook,NG,219,21,5,0.0366,0.0959,0.0365,0.965,0.2381,NORMAL,0
2024-01-03,Facebook,PL,1098,84,17,0.025,0.0765,0.0155,0.966,0.2024,NORMAL,0
2024-01-03,Google_Search,AU,418,69,21,0.0292,0.1651,0.012,0.99,0.3043,NORMAL,0
2024-01-03,Google_Search,BR,694,99,31,0.0227,0.1427,0.0115,0.99,0.3131,NORMAL,0
2024-01-03,Google_Search,CA,1290,216,91,0.0383,0.1674,0.0062,0.989,0.4213,NORMAL,0
2024-01-03,Google_Search,DE,1493,194,66,0.035,0.1299,0.0067,0.99,0.3402,NORMAL,0
2024-01-03,Google_Search,IN,779,137,42,0.0262,0.1759,0.0077,0.989,0.3066,NORMAL,0
2024-01-03,Google_Search,NG,580,58,9,0.0358,0.1,0.0069,0.991,0.1552,NORMAL,0
2024-01-03,Google_Search,PL,936,153,34,0.0409,0.1635,0.0096,0.988,0.2222,NORMAL,0
2024-01-03,Native_Ads,AU,427,31,6,0.0232,0.0726,0.0375,0.95,0.1935,NORMAL,0
2024-01-03,Native_Ads,BR,939,68,10,0.0217,0.0724,0.0671,0.95,0.1471,NORMAL,0
2024-01-03,Native_Ads,CA,267,19,4,0.0133,0.0712,0.0487,0.932,0.2105,NORMAL,0
2024-01-03,Native_Ads,DE,268,13,2,0.0153,0.0485,0.041,0.944,0.1538,NORMAL,0
2024-01-03,Native_Ads,IN,562,42,3,0.0164,0.0747,0.0641,0.942,0.0714,NORMAL,0
2024-01-03,Native_Ads,NG,625,49,5,0.0126,0.0784,0.0688,0.948,0.102,NORMAL,0
2024-01-03,Native_Ads,PL,603,49,9,0.0183,0.0813,0.073,0.932,0.1837,NORMAL,0
2024-01-03,Push_Network,AU,558,23,3,0.0162,0.0412,0.1882,0.884,0.1304,HIGH_FRAUD_RATE,1
2024-01-03,Push_Network,BR,476,19,3,0.0164,0.0399,0.1639,0.879,0.1579,HIGH_FRAUD_RATE,1
2024-01-03,Push_Network,CA,281,13,1,0.0191,0.0463,0.0961,0.877,0.0769,NORMAL,0
2024-01-03,Push_Network,DE,909,26,2,0.017,0.0286,0.1991,0.876,0.0769,HIGH_FRAUD_RATE,1
2024-01-03,Push_Network,IN,249,6,0,0.0157,0.0241,0.1807,0.875,0.0,HIGH_FRAUD_RATE,1
2024-01-03,Push_Network,NG,617,24,3,0.0228,0.0389,0.0908,0.836,0.125,NORMAL,0
2024-01-03,Push_Network,PL,965,30,2,0.0224,0.0311,0.1679,0.841,0.0667,HIGH_FRAUD_RATE,1
2024-01-03,TikTok,AU,417,29,4,0.0304,0.0695,0.06,0.925,0.1379,NORMAL,0
2024-01-03,TikTok,BR,314,20,2,0.0166,0.0637,0.051,0.923,0.1,NORMAL,0
2024-01-03,TikTok,CA,268,17,2,0.0134,0.0634,0.0784,0.915,0.1176,NORMAL,0
2024-01-03,TikTok,DE,152,10,1,0.02,0.0658,0.0395,0.909,0.1,NORMAL,0
2024-01-03,TikTok,IN,324,12,2,0.0196,0.037,0.0741,0.919,0.1667,NORMAL,0
2024-01-03,TikTok,NG,715,51,9,0.0294,0.0713,0.1147,0.927,0.1765,HIGH_FRAUD_RATE,1
2024-01-03,TikTok,PL,426,29,4,0.0133,0.0681,0.0399,0.911,0.1379,NORMAL,0
2024-01-04,Affiliate_SEO,AU,49,12,4,0.0049,0.2449,0.0,0.976,0.3333,NORMAL,0
2024-01-04,Affiliate_SEO,BR,327,56,25,0.0176,0.1713,0.0153,0.977,0.4464,NORMAL,0
2024-01-04,Affiliate_SEO,CA,442,93,35,0.0259,0.2104,0.0204,0.98,0.3763,NORMAL,0
2024-01-04,Affiliate_SEO,DE,1197,188,50,0.0252,0.1571,0.0251,0.977,0.266,NORMAL,0
2024-01-04,Affiliate_SEO,IN,31,6,1,0.0129,0.1935,0.0,0.976,0.1667,NORMAL,0
2024-01-04,Affiliate_SEO,NG,35,3,1,0.0109,0.0857,0.0,0.98,0.3333,NORMAL,0
2024-01-04,Affiliate_SEO,PL,160,41,14,0.0192,0.2562,0.0188,0.981,0.3415,NORMAL,0
2024-01-04,Facebook,AU,610,60,11,0.0358,0.0984,0.0262,0.974,0.1833,NORMAL,0
2024-01-04,Facebook,BR,938,125,26,0.0391,0.1333,0.0245,0.974,0.208,NORMAL,0
2024-01-04,Facebook,CA,569,68,22,0.0256,0.1195,0.0422,0.975,0.3235,NORMAL,0
2024-01-04,Facebook,DE,408,35,8,0.0302,0.0858,0.0196,0.971,0.2286,NORMAL,0
2024-01-04,Facebook,IN,366,29,8,0.0389,0.0792,0.0273,0.966,0.2759,NORMAL,0
2024-01-04,Facebook,NG,895,58,15,0.0396,0.0648,0.0201,0.967,0.2586,NORMAL,0
2024-01-04,Facebook,PL,1000,88,22,0.0366,0.088,0.032,0.97,0.25,NORMAL,0
2024-01-04,Google_Search,AU,959,85,26,0.0284,0.0886,0.0083,0.99,0.3059,NORMAL,0
2024-01-04,Google_Search,BR,1091,159,35,0.036,0.1457,0.0101,0.988,0.2201,NORMAL,0
2024-01-04,Google_Search,CA,1229,168,54,0.0415,0.1367,0.0122,0.989,0.3214,NORMAL,0
2024-01-04,Google_Search,DE,1119,79,21,0.0256,0.0706,0.0107,0.99,0.2658,NORMAL,0
2024-01-04,Google_Search,IN,829,110,23,0.0373,0.1327,0.0121,0.992,0.2091,NORMAL,0
2024-01-04,Google_Search,NG,436,50,15,0.0285,0.1147,0.0069,0.989,0.3,NORMAL,0
2024-01-04,Google_Search,PL,557,83,30,0.0321,0.149,0.0126,0.99,0.3614,NORMAL,0
2024-01-04,Native_Ads,AU,191,12,2,0.0103,0.0628,0.0628,0.938,0.1667,NORMAL,0
2024-01-04,Native_Ads,BR,272,19,2,0.0116,0.0699,0.0735,0.934,0.1053,NORMAL,0
2024-01-04,Native_Ads,CA,528,31,7,0.0316,0.0587,0.0739,0.945,0.2258,NORMAL,0
2024-01-04,Native_Ads,DE,335,22,3,0.0168,0.0657,0.0478,0.929,0.1364,NORMAL,0
2024-01-04,Native_Ads,IN,284,23,4,0.0088,0.081,0.081,0.932,0.1739,NORMAL,0
2024-01-04,Native_Ads,NG,468,36,6,0.0241,0.0769,0.0791,0.929,0.1667,NORMAL,0
2024-01-04,Native_Ads,PL,194,15,2,0.0099,0.0773,0.0464,0.94,0.1333,NORMAL,0
2024-01-04,Push_Network,AU,488,18,1,0.0183,0.0369,0.1598,0.868,0.0556,HIGH_FRAUD_RATE,1
2024-01-04,Push_Network,BR,161,7,0,0.0112,0.0435,0.0932,0.843,0.0,NORMAL,0
2024-01-04,Push_Network,CA,285,12,1,0.0271,0.0421,0.1123,0.88,0.0833,HIGH_FRAUD_RATE,1
2024-01-04,Push_Network,DE,540,19,2,0.0235,0.0352,0.0704,0.836,0.1053,NORMAL,0
2024-01-04,Push_Network,IN,484,21,3,0.0168,0.0434,0.0723,0.885,0.1429,NORMAL,0
2024-01-04,Push_Network,NG,462,20,2,0.0224,0.0433,0.0844,0.845,0.1,NORMAL,0
2024-01-04,Push_Network,PL,200,8,0,0.014,0.04,0.12,0.873,0.0,HIGH_FRAUD_RATE,1
2024-01-04,TikTok,AU,1620,95,10,0.0223,0.0586,0.0481,0.93,0.1053,NORMAL,0
2024-01-04,TikTok,BR,568,33,5,0.0235,0.0581,0.081,0.913,0.1515,NORMAL,0
2024-01-04,TikTok,CA,152,9,0,0.0076,0.0592,0.1118,0.912,0.0,HIGH_FRAUD_RATE,1
2024-01-04,TikTok,DE,650,36,4,0.0226,0.0554,0.0815,0.929,0.1111,NORMAL,0
2024-01-04,TikTok,IN,148,10,1,0.0089,0.0676,0.0676,0.905,0.1,NORMAL,0
2024-01-04,TikTok,NG,131,8,1,0.0168,0.0611,0.0916,0.918,0.125,NORMAL,0
2024-01-04,TikTok,PL,578,35,5,0.0221,0.0606,0.1003,0.915,0.1429,HIGH_FRAUD_RATE,1
2024-01-05,Affiliate_SEO,AU,827,170,59,0.0295,0.2056,0.0278,0.977,0.3471,NORMAL,0
2024-01-05,Affiliate_SEO,BR,121,24,5,0.0196,0.1983,0.0165,0.977,0.2083,NORMAL,0
2024-01-05,Affiliate_SEO,CA,1250,333,117,0.0229,0.2664,0.012,0.979,0.3514,NORMAL,0
2024-01-05,Affiliate_SEO,DE,556,196,77,0.018,0.3525,0.0126,0.98,0.3929,NORMAL,0
2024-01-05,Affiliate_SEO,IN,84,15,7,0.0258,0.1786,0.0,0.976,0.4667,NORMAL,0
2024-01-05,Affiliate_SEO,NG,31,5,1,0.0123,0.1613,0.0,0.98,0.2,NORMAL,0
2024-01-05,Affiliate_SEO,PL,90,20,6,0.0212,0.2222,0.0111,0.977,0.3,NORMAL,0
2024-01-05,Facebook,AU,1541,106,29,0.0404,0.0688,0.0195,0.973,0.2736,NORMAL,0
2024-01-05,Facebook,BR,1298,148,31,0.0224,0.114,0.0262,0.967,0.2095,NORMAL,0
2024-01-05,Facebook,CA,329,30,9,0.0358,0.0912,0.0243,0.976,0.3,NORMAL,0
2024-01-05,Facebook,DE,660,55,8,0.0352,0.0833,0.0439,0.97,0.1455,NORMAL,0
2024-01-05,Facebook,IN,761,57,14,0.034,0.0749,0.0184,0.974,0.2456,NORMAL,0
2024-01-05,Facebook,NG,896,56,12,0.0315,0.0625,0.0312,0.973,0.2143,NORMAL,0
2024-01-05,Facebook,PL,785,53,12,0.0224,0.0675,0.0242,0.964,0.2264,NORMAL,0
2024-01-05,Google_Search,AU,611,78,20,0.0496,0.1277,0.0098,0.989,0.2564,NORMAL,0
2024-01-05,Google_Search,BR,588,105,26,0.034,0.1786,0.0102,0.99,0.2476,NORMAL,0
2024-01-05,Google_Search,CA,673,101,26,0.0466,0.1501,0.0074,0.992,0.2574,NORMAL,0
2024-01-05,Google_Search,DE,796,139,30,0.0307,0.1746,0.0138,0.989,0.2158,NORMAL,0
2024-01-05,Google_Search,IN,1529,267,69,0.0381,0.1746,0.0065,0.988,0.2584,NORMAL,0
2024-01-05,Google_Search,NG,1135,111,20,0.0241,0.0978,0.0141,0.989,0.1802,NORMAL,0
2024-01-05,Google_Search,PL,1291,197,63,0.0383,0.1526,0.0108,0.989,0.3198,NORMAL,0
2024-01-05,Native_Ads,AU,349,27,6,0.0186,0.0774,0.0372,0.933,0.2222,NORMAL,0
2024-01-05,Native_Ads,BR,263,19,3,0.0178,0.0722,0.0722,0.949,0.1579,NORMAL,0
2024-01-05,Native_Ads,CA,756,62,12,0.0252,0.082,0.0384,0.943,0.1935,NORMAL,0
2024-01-05,Native_Ads,DE,1442,94,21,0.0365,0.0652,0.0589,0.946,0.2234,NORMAL,0
2024-01-05,Native_Ads,IN,434,40,8,0.0153,0.0922,0.0346,0.944,0.2,NORMAL,0
2024-01-05,Native_Ads,NG,738,49,8,0.0296,0.0664,0.0772,0.949,0.1633,NORMAL,0
2024-01-05,Native_Ads,PL,509,28,6,0.0255,0.055,0.0314,0.928,0.2143,NORMAL,0
2024-01-05,Push_Network,AU,190,7,0,0.014,0.0368,0.1632,0.86,0.0,HIGH_FRAUD_RATE,1
2024-01-05,Push_Network,BR,653,31,4,0.0207,0.0475,0.1332,0.85,0.129,HIGH_FRAUD_RATE,1
2024-01-05,Push_Network,CA,524,22,2,0.0178,0.042,0.1183,0.852,0.0909,HIGH_FRAUD_RATE,1
2024-01-05,Push_Network,DE,396,17,2,0.0229,0.0429,0.1869,0.885,0.1176,HIGH_FRAUD_RATE,1
2024-01-05,Push_Network,IN,544,21,2,0.0244,0.0386,0.1379,0.841,0.0952,HIGH_FRAUD_RATE,1
2024-01-05,Push_Network,NG,322,13,2,0.02,0.0404,0.087,0.883,0.1538,NORMAL,0
2024-01-05,Push_Network,PL,447,17,1,0.0208,0.038,0.2036,0.853,0.0588,HIGH_FRAUD_RATE,1
2024-01-05,TikTok,AU,294,14,2,0.0185,0.0476,0.0782,0.922,0.1429,NORMAL,0
2024-01-05,TikTok,BR,475,33,5,0.0279,0.0695,0.0695,0.915,0.1515,NORMAL,0
2024-01-05,TikTok,CA,798,51,6,0.0292,0.0639,0.0852,0.905,0.1176,NORMAL,0
2024-01-05,TikTok,DE,125,8,1,0.0113,0.064,0.064,0.932,0.125,NORMAL,0
2024-01-05,TikTok,IN,187,13,2,0.0169,0.0695,0.0588,0.913,0.1538,NORMAL,0
2024-01-05,TikTok,NG,604,43,4,0.0274,0.0712,0.0447,0.915,0.093,NORMAL,0
2024-01-05,TikTok,PL,772,45,5,0.0253,0.0583,0.0402,0.916,0.1111,NORMAL,0
2024-01-06,Affiliate_SEO,AU,691,178,61,0.0151,0.2576,0.026,0.982,0.3427,NORMAL,0
2024-01-06,Affiliate_SEO,BR,62,9,3,0.0145,0.1452,0.0161,0.977,0.3333,NORMAL,0
2024-01-06,Affiliate_SEO,CA,531,102,36,0.0218,0.1921,0.0226,0.984,0.3529,NORMAL,0
2024-01-06,Affiliate_SEO,DE,563,91,33,0.0177,0.1616,0.0124,0.978,0.3626,NORMAL,0
2024-01-06,Affiliate_SEO,IN,171,38,15,0.0221,0.2222,0.0058,0.979,0.3947,NORMAL,0
2024-01-06,Affiliate_SEO,NG,151,29,11,0.0254,0.1921,0.0199,0.983,0.3793,NORMAL,0
2024-01-06,Affiliate_SEO,PL,113,26,10,0.0114,0.2301,0.0088,0.978,0.3846,NORMAL,0
2024-01-06,Facebook,AU,1240,120,33,0.0303,0.0968,0.0371,0.965,0.275,NORMAL,0
2024-01-06,Facebook,BR,1268,108,19,0.0423,0.0852,0.0284,0.972,0.1759,NORMAL,0
2024-01-06,Facebook,CA,349,42,10,0.0242,0.1203,0.0315,0.968,0.2381,NORMAL,0
2024-01-06,Facebook,DE,571,51,10,0.0365,0.0893,0.0438,0.969,0.1961,NORMAL,0
2024-01-06,Facebook,IN,765,70,19,0.0338,0.0915,0.0248,0.974,0.2714,NORMAL,0
2024-01-06,Facebook,NG,1133,89,16,0.0288,0.0786,0.0424,0.974,0.1798,NORMAL,0
2024-01-06,Facebook,PL,1631,132,41,0.0326,0.0809,0.038,0.966,0.3106,NORMAL,0
2024-01-06,Google_Search,AU,1321,184,55,0.0386,0.1393,0.0083,0.991,0.2989,NORMAL,0
2024-01-06,Google_Search,BR,973,158,49,0.0427,0.1624,0.0092,0.992,0.3101,NORMAL,0
2024-01-06,Google_Search,CA,437,64,21,0.0359,0.1465,0.0046,0.991,0.3281,NORMAL,0
2024-01-06,Google_Search,DE,1448,192,57,0.0454,0.1326,0.0062,0.99,0.2969,NORMAL,0
2024-01-06,Google_Search,IN,2101,245,52,0.0403,0.1166,0.009,0.99,0.2122,NORMAL,0
2024-01-06,Google_Search,NG,739,124,37,0.0341,0.1678,0.0054,0.99,0.2984,NORMAL,0
2024-01-06,Google_Search,PL,769,121,36,0.0369,0.1573,0.0091,0.989,0.2975,NORMAL,0
2024-01-06,Native_Ads,AU,950,79,19,0.0249,0.0832,0.0316,0.94,0.2405,NORMAL,0
2024-01-06,Native_Ads,BR,344,26,4,0.0202,0.0756,0.0349,0.952,0.1538,NORMAL,0
2024-01-06,Native_Ads,CA,434,26,3,0.0175,0.0599,0.0691,0.944,0.1154,NORMAL,0
2024-01-06,Native_Ads,DE,400,21,4,0.0217,0.0525,0.07,0.952,0.1905,NORMAL,0
2024-01-06,Native_Ads,IN,193,12,2,0.0134,0.0622,0.0674,0.944,0.1667,NORMAL,0
2024-01-06,Native_Ads,NG,557,40,9,0.0226,0.0718,0.0592,0.941,0.225,NORMAL,0
2024-01-06,Native_Ads,PL,382,29,4,0.0138,0.0759,0.0419,0.93,0.1379,NORMAL,0
2024-01-06,Push_Network,AU,606,25,3,0.0168,0.0413,0.1337,0.877,0.12,HIGH_FRAUD_RATE,1
2024-01-06,Push_Network,BR,312,9,1,0.0101,0.0288,0.0801,0.876,0.1111,NORMAL,0
2024-01-06,Push_Network,CA,272,11,1,0.0107,0.0404,0.125,0.885,0.0909,HIGH_FRAUD_RATE,1
2024-01-06,Push_Network,DE,618,20,2,0.0263,0.0324,0.1262,0.834,0.1,HIGH_FRAUD_RATE,1
2024-01-06,Push_Network,IN,1059,45,4,0.0273,0.0425,0.1983,0.886,0.0889,HIGH_FRAUD_RATE,1
2024-01-06,Push_Network,NG,119,6,0,0.0149,0.0504,0.1429,0.883,0.0,HIGH_FRAUD_RATE,1
2024-01-06,Push_Network,PL,1635,66,5,0.0239,0.0404,0.1547,0.832,0.0758,HIGH_FRAUD_RATE,1
2024-01-06,TikTok,AU,317,20,2,0.0179,0.0631,0.041,0.933,0.1,NORMAL,0
2024-01-06,TikTok,BR,558,35,4,0.0129,0.0627,0.0914,0.932,0.1143,NORMAL,0
2024-01-06,TikTok,CA,464,19,3,0.0177,0.0409,0.097,0.931,0.1579,NORMAL,0
2024-01-06,TikTok,DE,1407,89,17,0.0293,0.0633,0.0426,0.922,0.191,NORMAL,0
2024-01-06,TikTok,IN,437,30,3,0.0208,0.0686,0.0709,0.909,0.1,NORMAL,0
